BRAND,MODEL,VEHICLE CLASS,ENGINE SIZE L,CYLINDERS,TRANSMISSION,FUEL_TYPE,FUEL CONSUMPTION (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),CO2_Emissions(g/km)
JAGUAR,F-TYPE R AWD COUPE,TWO-SEATER,5.0,8.0,AS6,Z,15.7,10.4,13.3,21,311
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6.0,M7,Z,12.3,8.7,10.7,26,251
AUDI,A8 QUATTRO,MID-SIZE,4.0,8.0,AS8,Z,12.9,8.0,10.7,26,249
SUBARU,WRX,COMPACT,2.5,4.0,M6,Z,13.8,10.2,12.2,23,285
CHEVROLET,SONIC RS,COMPACT,1.4,4.0,M6,,8.9,7.0,8.0,35,189
INFINITI,Q50,MID-SIZE,3.0,6.0,AS7,Z,12.1,8.1,10.3,27,242
PORSCHE,911 CARRERA GTS CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,12.7,9.2,11.1,25,260
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12.0,AS8,,20.7,12.9,17.2,16,404
CADILLAC,CTS AWD,MID-SIZE,3.6,6.0,AS8,X,12.2,8.5,10.5,27,247
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6.0,A6,X,13.0,9.2,11.3,25,265
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4.0,M6,Z,9.4,7.6,8.6,33,201
LAMBORGHINI,HURACAN,TWO-SEATER,5.2,10.0,AM7,Z,16.4,11.4,14.2,20,331
BMW,428i COUPE,COMPACT,2.0,4.0,M6,Z,10.7,7.0,9.0,31,211
BMW,X5 M,SUV - STANDARD,4.4,8.0,AS8,Z,16.6,12.1,14.6,19,343
SUBARU,WRX,COMPACT,2.0,4.0,AV8,Z,12.5,9.5,11.2,25,254
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A8,X,16.2,11.5,14.1,20,330
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A8,E,16.8,10.3,13.9,20,229
GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,20.9,14.5,18.0,16,300
CHEVROLET,SPARK,SUBCOMPACT,1.4,4.0,M5,,7.8,5.8,6.9,41,162
JEEP,RENEGADE,SUV - SMALL,1.4,4.0,M6,X,9.9,7.5,8.8,32,207
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6.0,A6,X,14.1,9.5,12.0,24,282
ALFA ROMEO,4C,TWO-SEATER,1.8,4.0,AM6,Z,9.7,6.9,8.4,34,197
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6.0,AS6,E,18.7,12.9,16.1,18,264
NISSAN,JUKE NISMO RS,STATION WAGON - SMALL,1.6,4.0,M6,Z,8.9,7.5,8.3,34,194
FORD,MUSTANG,SUBCOMPACT,2.3,4.0,AS6,X,11.0,7.4,9.4,30,219
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6.0,AV,X,12.1,8.9,10.7,26,251
MAZDA,MX-5,TWOSEATER,2.0,4.0,AS6,Z,89.0,6.5,7.8,36,183
PORSCHE,BOXSTER GTS,TWO-SEATER,3.4,6.0,AM7,Z,10.9,7.7,9.5,30,222
SUBARU,BRZ,MINICOMPACT,2.0,4.0,AS6,Z,9.6,7.0,8.4,34,197
MERCEDES-BENZ,AMG S 63,FULL-SIZE,5.5,8.0,AS7,Z,15.7,10.1,13.2,21,313
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.5,4.0,M6,X,9.3,6.4,8.0,35,189
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4.0,A6,X,9.6,7.3,8.6,33,200
SUBARU,IMPREZA AWD,COMPACT,2.0,4.0,AV6,X,8.5,6.4,7.6,37,177
JEEP,COMPASS,SUV - SMALL,2.0,4.0,M5,,10.3,7.8,9.2,31,214
JEEP,CHEROKEE TRAILHAWK 4X4,SUV - SMALL,3.2,6.0,A9,X,12.2,9.0,10.8,26,253
PORSCHE,PANAMERA 4S,FULL-SIZE,3.0,6.0,AM7,Z,13.4,8.8,11.4,25,267
MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8.0,AS7,Z,19.0,16.5,17.9,16,401
PORSCHE,PANAMERA TURBO,FULL-SIZE,4.8,8.0,AM7,Z,15.3,9.7,12.8,22,300
CADILLAC,CT6,FULL-SIZE,2.0,4.0,AS8,Z,11.0,7.6,9.5,30,222
DODGE,CHALLENGER,MID-SIZE,5.7,,M6,X,15.6,10.0,13.1,22,307
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.8,,A6,D,12.0,8.2,10.3,27,277
BMW,428i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,11.3,7.1,9.4,30,221
BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6.0,AS8,Z,11.9,8.1,10.2,28,238
BUICK,ENVISION AWD,SUV - SMALL,2.0,4.0,A6,Z,11.8,9.1,10.6,27,248
GMC,YUKON 4WD,SUV - STANDARD,5.3,8.0,A6,X,15.2,10.8,13.2,21,310
MITSUBISHI,RVR,SUV - SMALL,2.0,4.0,M5,X,10.3,8.0,9.3,30,214
CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4.0,A6,X,11.5,8.2,10.0,28,235
MASERATI,GHIBLI S,MID-SIZE,3.0,6.0,AS8,Z,14.5,10.0,12.5,23,293
MAZDA,CX-5 4WD,SUV - SMALL,2.0,4.0,AS6,X,9.3,7.6,8.5,33,199
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6.0,AM7,Z,12.5,9.1,11.0,26,257
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,10.8,7.7,9.4,30,252
HONDA,ACCORD COUPE,MID-SIZE,3.5,6.0,M6,X,12.9,8.3,10.9,26,253
DODGE,CHARGER,FULL-SIZE,3.6,6.0,A8,X,12.4,7.7,10.3,27,240
BMW,X4 M40i,SUV - SMALL,3.0,6.0,AS8,Z,12.8,9.5,11.3,25,264
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6.0,AM7,Z,11.7,8.5,10.2,28,240
MERCEDES-BENZ,E 550 COUPE,SUBCOMPACT,4.7,,AS7,Z,13.4,8.9,11.4,25,268
BUICK,REGAL,MID-SIZE,2.0,4.0,AS6,Z,11.4,7.9,9.8,29,231
VOLVO,S60 T6,COMPACT,2.0,4.0,AS8,Z,10.6,7.7,9.3,30,218
LEXUS,CT 200h,COMPACT,1.8,4.0,AV,X,5.5,5.9,5.7,50,132
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4.0,AS6,X,8.2,5.9,7.2,39,169
MERCEDES-BENZ,E 550 4MATIC,MID-SIZE,4.7,8.0,AS7,,12.9,9.6,11.4,25,270
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A5,X,13.7,8.9,11.5,25,271
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8.0,A8,,16.0,11.2,13.9,20,325
JEEP,CHEROKEE,SUV - SMALL,2.4,4.0,A9,X,10.9,7.7,9.5,30,223
CHEVROLET,SONIC RS,COMPACT,1.4,,AS6,X,9.5,7.1,8.4,34,195
LEXUS,ES 350,MID-SIZE,3.5,6.0,AS6,X,11.4,7.6,9.7,29,225
LEXUS,LX 570,SUV - STANDARD,5.7,8.0,AS8,Z,18.3,12.9,15.9,18,371
JEEP,COMPASS 4X4 TRAIL RATED,SUV - SMALL,2.4,4.0,AV,X,11.7,10.3,11.1,25,259
GMC,TERRAIN AWD,SUV - SMALL,2.4,4.0,A6,X,11.5,8.2,10.0,28,235
CHEVROLET,CAMARO SS,COMPACT,6.2,8.0,M6,Z,14.3,9.4,12.1,23,284
LINCOLN,MKC AWD,SUV - SMALL,2.0,4.0,AS6,X,12.4,9.0,10.9,26,256
TOYOTA,VENZA 4WD,SUV - SMALL,3.5,6.0,AS6,,12.8,9.3,11.3,25,263
CADILLAC,SRX,SUV - STANDARD,3.6,6.0,AS6,X,14.2,9.8,12.3,23,287
NISSAN,370Z,TWOSEATER,3.7,6.0,AS7,Z,126.0,9.2,11.1,25,260
GMC,YUKON 4WD,SUV - STANDARD,6.2,8.0,A8,Z,15.9,11.1,13.8,20,323
JAGUAR,XJR,FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.2,13.3,21,313
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6.0,M7,Z,12.7,8.9,11.0,26,258
TOYOTA,COROLLA,MID-SIZE,1.8,4.0,AV,X,8.2,6.2,7.3,39,171
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,17.1,12.0,14.8,19,348
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,,M6,Z,18.1,12.3,15.5,18,362
AUDI,A3,SUBCOMPACT,1.8,4.0,AM6,X,10.0,7.1,8.7,32,204
LEXUS,GS 350,MID-SIZE,3.5,6.0,AS8,Z,11.9,8.1,10.2,28,237
TOYOTA,CAMRY HYBRID XLE/SE,MID-SIZE,2.5,4.0,AV,X,5.7,6.0,5.9,48,137
GMC,TERRAIN,SUV - SMALL,2.4,4.0,A6,X,10.5,7.3,9.1,31,214
FORD,TAURUS FFV AWD,FULL-SIZE,3.5,6.0,AS6,E,18.7,13.3,16.3,17,271
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4.0,M5,X,10.2,7.7,9.1,31,214
NISSAN,JUKE,STATION WAGON - SMALL,1.6,,M6,Z,8.5,6.9,7.8,36,183
CADILLAC,ATS,COMPACT,3.6,6.0,AS8,X,11.6,7.9,9.9,29,233
MERCEDES-BENZ,GLE 550 4MATIC,SUV - STANDARD,4.7,8.0,AS7,Z,16.2,11.8,14.2,20,335
LEXUS,LS 460,MID-SIZE,4.6,8.0,AS8,Z,14.4,9.6,12.3,23,286
VOLVO,XC70 T5 AWD,SUV - SMALL,2.5,5.0,AS6,X,12.5,9.2,11.0,26,254
LAND ROVER,RANGE ROVER SPORT TD6 DIESEL,SUV - STANDARD,3.0,6.0,AS8,D,10.6,8.1,9.4,30,254
MERCEDES-BENZ,GLE 350d 4MATIC,SUV - STANDARD,3.0,6.0,A9,D,10.1,8.0,9.2,31,246
DODGE,CHARGER,FULL-SIZE,3.6,6.0,A5,X,13.7,8.9,11.5,25,271
CHEVROLET,TRAX,SUV - SMALL,1.4,4.0,M6,X,9.1,6.9,8.1,35,190
VOLKSWAGEN,BEETLE DUNE,COMPACT,1.8,4.0,AS6,X,9.7,7.5,8.7,32,203
KIA,OPTIMA,FULL-SIZE,2.0,4.0,AS6,X,10.9,7.4,9.3,30,222
LEXUS,NX 300h AWD,SUV - SMALL,2.5,4.0,AV6,X,7.1,7.7,7.4,38,172
MERCEDES-BENZ,AMG SL 65,TWO-SEATER,6.0,12.0,AS7,Z,16.7,11.2,14.2,20,335
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.8,4.0,A6,D,12.0,8.2,10.3,27,277
HYUNDAI,SONATA,FULL-SIZE,2.0,4.0,AS6,X,10.4,7.4,9.1,31,214
MERCEDES-BENZ,S 550 4MATIC LWB,FULL-SIZE,4.7,8.0,AS7,Z,14.8,9.8,12.5,23,287
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4.0,AS8,Z,10.5,6.9,8.9,32,209
PORSCHE,CAYMAN S,TWO-SEATER,3.4,6.0,AM7,Z,11.3,7.9,9.8,29,230
MERCEDES-BENZ,AMG SL 63,TWO-SEATER,5.5,8.0,AS7,Z,14.7,9.5,12.4,23,298
RAM,1500 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,,A8,,11.6,8.4,10.2,28,272
JAGUAR,F-TYPE S CONVERTIBLE,TWO-SEATER,3.0,6.0,AS8,Z,12.5,8.7,10.8,26,254
VOLKSWAGEN,TIGUAN 4MOTION,SUV - SMALL,2.0,4.0,AS6,Z,11.6,9.3,10.6,27,248
LAND ROVER,DISCOVERY SPORT,SUV - SMALL,2.0,4.0,AS9,Z,11.9,9.0,10.6,27,248
FORD,FOCUS FFV,COMPACT,2.0,4.0,AM6,X,8.9,6.0,7.6,37,178
BENTLEY,CONTINENTAL GT,COMPACT,4.0,8.0,AS8,Z,16.1,9.4,13.1,22,307
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8.0,M6,,18.1,12.3,15.5,18,362
VOLKSWAGEN,GOLF GTI,COMPACT,2.0,4.0,AM6,X,9.5,7.2,8.5,33,198
PORSCHE,MACAN TURBO,SUV - SMALL,3.6,,A7,Z,14.2,10.1,12.3,23,287
MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3.0,M6,,8.2,6.0,7.2,39,170
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8.0,A6,,15.1,10.4,13.0,22,304
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6.0,AS6,X,16.8,13.2,15.2,19,356
CHEVROLET,CAMARO,COMPACT,2.0,4.0,AS8,Z,10.9,7.5,9.3,30,218
HYUNDAI,SANTA FE,SUV - SMALL,3.3,6.0,AS6,,12.9,9.4,11.3,25,265
PORSCHE,911 TURBO CABRIOLET,MINICOMPACT,3.8,6.0,AM7,,13.7,9.6,11.9,24,278
BMW,435i CABRIOLET,SUBCOMPACT,3.0,6.0,AS8,Z,11.8,7.6,9.9,29,232
FORD,FLEX AWD,SUV - STANDARD,3.5,6.0,AS6,X,14.7,10.7,12.9,22,303
FORD,F-150 (Payload Pkg),PICKUP TRUCK - STANDARD,3.5,6.0,AS6,X,14.7,10.7,12.9,22,303
HONDA,PILOT AWD,SUV - SMALL,3.5,6.0,AS9,X,12.4,9.3,11.0,26,257
BMW,328i xDRIVE,COMPACT,2.0,4.0,AS8,,10.5,6.9,8.9,32,209
FORD,EXPLORER,SUV - STANDARD,2.3,4.0,AS6,X,12.6,8.5,10.8,26,253
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,3.5,6.0,AS6,,13.1,10.5,11.9,24,280
CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,11.9,8.9,10.5,27,247
MERCEDES-BENZ,E 250 BLUETEC 4MATIC,MID-SIZE,2.1,4.0,AS7,D,8.6,6.0,7.4,38,200
NISSAN,VERSA,MID-SIZE,1.6,4.0,AV,X,7.5,6.0,6.8,42,161
VOLVO,S60 POLESTAR,COMPACT,3.0,6.0,AS6,X,13.0,9.0,11.2,25,259
FORD,FUSION,MID-SIZE,2.5,4.0,AS6,X,10.5,6.9,8.9,32,209
ACURA,RDX AWD,SUV - SMALL,3.5,6.0,AS6,Z,12.4,8.6,10.7,26,249
LEXUS,RC F,SUBCOMPACT,5.0,8.0,AS8,Z,15.2,9.5,12.6,22,289
MAZDA,MAZDA6 (SIL),MID-SIZE,2.5,4.0,M6,X,9.4,6.4,8.1,35,188
GMC,SIERRA eASSIST 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A8,,14.4,11.2,13.0,22,304
MITSUBISHI,LANCER,COMPACT,2.0,,AV6,X,8.6,6.8,7.8,36,181
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,,AS8,Z,19.6,11.7,16.0,18,375
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6.0,A8,E,17.3,11.7,14.8,19,243
CHEVROLET,CRUZE PREMIER,COMPACT,1.4,4.0,AS6,X,7.8,5.9,6.9,41,160
KIA,SOUL,STATION WAGON - SMALL,2.0,4.0,AS6,X,9.8,7.5,8.8,32,208
KIA,SOUL ECO DYNAMICS,STATION WAGON - SMALL,2.0,4.0,AS6,X,9.7,7.7,8.8,32,208
MINI,COOPER S CLUBMAN,MID-SIZE,2.0,4.0,M6,Z,10.6,7.4,9.2,31,215
BMW,320i xDRIVE,COMPACT,2.0,4.0,AS8,Z,10.4,6.8,8.8,32,207
DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8.0,A8,Z,15.7,9.5,12.9,22,302
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,3.5,6.0,AS6,X,14.7,10.7,12.9,22,303
ACURA,MDX SH-AWD ELITE,SUV - SMALL,3.5,6.0,AS9,Z,12.2,9.1,10.7,26,251
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,14.6,10.4,12.7,22,298
VOLVO,V60 T6 AWD,STATION WAGON - SMALL,2.0,,AS8,Z,11.3,8.2,9.9,29,231
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4.0,AS6,Z,10.1,7.7,9.0,31,212
NISSAN,SENTRA,MID-SIZE,1.8,4.0,M6,X,8.9,6.6,7.9,36,184
LAMBORGHINI,HURACAN SPYDER,TWO-SEATER,5.2,10.0,AM7,Z,16.9,11.8,14.6,19,340
VOLVO,S60 T5 AWD,COMPACT,2.5,5.0,AS6,X,11.6,8.2,10.1,28,233
HYUNDAI,ELANTRA GT,MID-SIZE,2.0,4.0,M6,,9.8,7.1,8.6,33,202
BMW,328d xDRIVE,COMPACT,2.0,4.0,AS8,D,7.7,5.7,6.8,42,183
BMW,M235i CABRIOLET,SUBCOMPACT,3.0,6.0,AS8,Z,11.6,7.7,9.9,29,232
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,E,19.4,13.6,16.8,17,279
SUBARU,WRX,COMPACT,2.0,4.0,M6,Z,11.3,8.4,10.0,28,233
ACURA,RLX HYBRID,MID-SIZE,3.5,,AM7,Z,8.0,7.5,7.7,37,180
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,3.5,6.0,AS6,X,12.6,10.0,11.4,25,267
LINCOLN,MKT LIVERY AWD,SPECIAL PURPOSE VEHICLE,3.7,6.0,A6,X,14.7,10.2,12.7,22,298
NISSAN,PATHFINDER,SUV - SMALL,3.5,6.0,AV,X,11.9,8.6,10.4,27,245
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4.0,M6,Z,9.4,7.6,8.6,33,201
ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,12.0,A8,Z,17.6,11.4,14.8,19,346
MAZDA,MAZDA6,MID-SIZE,2.5,4.0,AS6,X,8.8,6.1,7.6,37,178
CHEVROLET,SONIC 5 RS,STATION WAGON - SMALL,1.4,4.0,AS6,X,9.5,7.1,8.4,34,195
MERCEDES-BENZ,SLK 300,TWO-SEATER,2.0,4.0,A9,Z,9.6,7.3,8.5,33,199
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4.0,AM6,X,10.1,7.8,9.1,31,209
FIAT,500L,STATION WAGON - SMALL,1.4,4.0,M6,X,9.3,7.1,8.3,34,194
SCION,iM,MID-SIZE,1.8,4.0,AV7,X,8.3,6.3,7.4,38,173
AUDI,S8 QUATTRO,MID-SIZE,4.0,8.0,AS8,Z,15.7,9.4,12.8,22,300
GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,15.0,10.7,13.1,22,306
GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,E,19.3,14.4,17.1,17,284
BMW,428i COUPE,COMPACT,2.0,4.0,AS8,,9.9,6.5,8.4,34,197
VOLVO,XC60 T5 AWD,SUV - SMALL,2.5,5.0,AS6,X,12.5,9.2,11.0,26,254
DODGE,DART TURBO AERO,MID-SIZE,1.4,4.0,AM6,,8.4,5.9,7.3,39,171
BMW,M4 COUPE,COMPACT,3.0,6.0,AM7,Z,14.1,9.7,12.1,23,284
FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4.0,A6,X,9.6,7.3,8.6,33,200
HYUNDAI,ELANTRA,MID-SIZE,2.0,4.0,M6,X,9.8,7.0,8.5,33,198
KIA,SOUL,STATION WAGON - SMALL,1.6,4.0,AS6,X,9.8,7.8,8.9,32,206
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,X,16.0,11.3,13.8,20,324
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6.0,AM7,Z,13.7,10.0,12.1,23,282
JAGUAR,F-TYPE COUPE,TWO-SEATER,3.0,6.0,AS8,Z,12.1,8.5,10.5,27,246
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A6,X,17.7,12.7,15.4,18,362
MERCEDES-BENZ,E 400 4MATIC WAGON,STATION WAGON - MID-SIZE,3.0,6.0,AS7,Z,12.4,8.9,10.8,26,253
CADILLAC,ATS,COMPACT,2.0,,AS8,Z,10.5,7.6,9.2,31,215
FORD,EXPEDITION 4X4,SUV - STANDARD,3.5,6.0,AS6,X,16.2,11.9,14.3,20,334
MINI,COOPER S 5 DOOR,SUBCOMPACT,2.0,4.0,AS6,Z,9.2,7.0,8.2,34,193
MERCEDES-BENZ,E 400 4MATIC COUPE,SUBCOMPACT,3.0,6.0,AS7,Z,11.8,8.4,10.2,28,239
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6.0,A6,X,14.2,9.5,12.1,23,285
CADILLAC,ATS AWD,COMPACT,3.6,6.0,AS8,X,12.2,8.5,10.5,27,247
HYUNDAI,SANTA FE SPORT AWD,SUV - SMALL,2.0,,AS6,,12.9,9.7,11.5,25,266
JEEP,PATRIOT,SUV - SMALL,2.0,4.0,AV,,10.8,8.9,10.0,28,234
GMC,YUKON,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,13.0,22,304
FORD,ESCAPE,SUV - SMALL,2.5,4.0,AS6,,10.9,7.6,9.4,30,220
HONDA,CR-V AWD,SUV - SMALL,2.4,4.0,AV,X,9.5,7.5,8.6,33,202
SCION,FR-S,MINICOMPACT,2.0,4.0,AS6,Z,9.6,7.0,8.4,34,197
CHRYSLER,TOWN & COUNTRY FFV,MINIVAN,3.6,6.0,A6,E,19.7,13.3,16.8,17,279
