BRAND,MODEL,VEHICLE CLASS,ENGINE SIZE L,CYLINDERS,TRANSMISSION,FUEL_TYPE,FUEL CONSUMPTION (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),CO2_Emissions(g/km)
AUDI,A4 QUATTRO,COMPACT,2.0,,M6,Z,10.6,7.3,9.1,31,214
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8.0,AS8,Z,17.7,10.2,14.3,20,335
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4.0,A9,X,10.8,7.7,9.4,30,220
MINI,COOPER S CLUBMAN,MID-SIZE,2.0,4.0,AS6,,9.7,7.0,8.5,33,198
BUICK,VERANO,COMPACT,2.0,4.0,AS6,Z,11.4,7.9,9.8,29,231
JEEP,CHEROKEE FFV,SUV - SMALL,2.4,4.0,A9,E,15.2,10.2,12.9,22,213
VOLVO,S60 3.0T AWD,COMPACT,3.0,6.0,AS6,X,13.0,9.0,11.2,25,259
JEEP,CHEROKEE 4X4,SUV - SMALL,3.2,6.0,A9,X,11.6,8.5,10.2,28,240
HONDA,PILOT AWD,SUV - SMALL,3.5,6.0,A6,X,13.0,9.3,11.3,25,265
AUDI,A7 QUATTRO,MID-SIZE,3.0,6.0,AS8,Z,11.6,7.9,9.9,29,232
JEEP,GRAND CHEROKEE SRT 4X4 (MDS),SUV - STANDARD,6.4,8.0,A8,Z,18.5,12.6,15.8,18,370
BMW,750i xDRIVE,FULL-SIZE,4.4,8.0,AS8,Z,14.3,9.3,12.1,23,283
BMW,X3 xDRIVE28d,SUV - SMALL,2.0,4.0,AS8,,8.6,6.9,7.9,36,211
DODGE,DART GT,MID-SIZE,2.4,4.0,M6,X,10.2,7.0,8.8,32,207
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4.0,A6,X,10.5,7.3,9.1,31,214
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4.0,AS8,Z,11.3,8.0,9.8,29,230
CHRYSLER,200 FFV,MID-SIZE,3.6,6.0,A9,X,12.4,7.5,10.2,28,239
LINCOLN,MKZ,MID-SIZE,2.0,4.0,AS6,X,10.5,7.0,8.9,32,210
AUDI,SQ5 QUATTRO,SUV - SMALL,3.0,6.0,AS8,Z,14.1,9.9,12.2,23,285
VOLVO,S80 T5,MID-SIZE,2.0,4.0,AS8,X,9.6,6.7,8.3,34,193
CHEVROLET,SILVERADO eASSIST 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A8,X,14.4,11.2,13.0,22,304
CHRYSLER,200 FFV,MID-SIZE,3.6,6.0,A9,E,16.5,10.1,13.6,21,225
MINI,COOPER 5 DOOR,SUBCOMPACT,1.5,3.0,AS6,Z,8.7,6.6,7.7,37,181
AUDI,S4 QUATTRO,COMPACT,3.0,6.0,M6,Z,13.8,9.0,11.7,24,273
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,1.8,4.0,AS6,X,9.6,7.0,8.4,34,196
VOLVO,XC90 T5,SUV - STANDARD,2.0,4.0,AS8,Z,10.6,9.1,10.0,28,232
KIA,K900,FULL-SIZE,5.0,,AS8,X,15.6,10.6,13.4,21,318
HYUNDAI,SONATA HYBRID LIMITED,MID-SIZE,2.0,4.0,AM6,X,6.0,5.5,5.8,49,136
GMC,TERRAIN FFV,SUV - SMALL,2.4,4.0,A6,E,15.6,10.8,13.4,21,221
HYUNDAI,TUCSON AWD,SUV - SMALL,1.6,4.0,AM7,,9.9,8.4,9.2,31,219
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4.0,M6,Z,9.4,7.6,8.6,33,201
BENTLEY,FLYING SPUR,MID-SIZE,4.0,8.0,AS8,Z,17.7,10.0,14.2,20,334
FORD,FOCUS FFV,COMPACT,2.0,4.0,M5,E,12.3,8.9,10.8,26,179
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,3.5,6.0,A6,E,17.9,13.0,15.7,18,261
DODGE,CHALLENGER,MID-SIZE,6.4,8.0,M6,Z,16.8,10.4,13.9,20,326
DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8.0,A8,Z,15.7,9.5,12.9,22,302
NISSAN,NV200 CARGO VAN,SPECIAL PURPOSE VEHICLE,2.0,4.0,AV,X,9.7,9.0,9.4,30,220
GMC,ACADIA AWD,SUV - STANDARD,3.6,6.0,A6,X,16.1,10.8,13.7,21,323
PORSCHE,PANAMERA GTS,FULL-SIZE,4.8,8.0,AM7,Z,15.1,9.7,12.7,22,298
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6.0,AS6,E,17.0,11.5,14.5,19,239
PORSCHE,911 TURBO,MINICOMPACT,3.8,6.0,AM7,Z,13.7,9.6,11.9,24,278
KIA,SORENTO,SUV - SMALL,2.0,4.0,AS6,X,11.7,8.6,10.3,27,245
MITSUBISHI,OUTLANDER,SUV - SMALL,2.4,4.0,AV6,X,9.2,7.5,8.4,34,193
INFINITI,Q50S AWD,MID-SIZE,3.0,6.0,AS7,Z,12.9,9.0,11.1,25,262
GMC,SIERRA,PICKUP TRUCK - STANDARD,6.2,,A8,,16.1,11.4,14.0,20,327
FORD,MUSTANG,SUBCOMPACT,3.7,6.0,AS6,X,12.6,8.5,10.7,26,253
VOLKSWAGEN,JETTA,COMPACT,1.4,4.0,AS6,X,8.5,6.0,7.3,39,173
DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8.0,A8,X,14.8,9.3,12.3,23,289
FORD,ESCAPE AWD,SUV - SMALL,2.0,4.0,AS6,X,11.4,8.4,10.0,28,236
LEXUS,GS 350 AWD,MID-SIZE,3.5,6.0,AS6,Z,12.4,9.0,10.9,26,254
CHEVROLET,CRUZE LIMITED,MID-SIZE,1.8,4.0,M6,X,9.4,6.6,8.1,35,190
TOYOTA,TUNDRA,PICKUP TRUK,4.6,8.0,AS6,X,159.0,12.3,14.3,20,335
CHRYSLER,300 AWD FFV,FULL-SIZE,3.6,6.0,A8,X,12.8,8.6,10.9,26,257
AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4.0,AM6,X,10.1,7.5,8.9,32,208
MAZDA,MX-5 (SIL),TWO-SEATER,2.0,4.0,M6,Z,8.8,6.9,7.8,36,183
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4.0,M5,,12.2,10.2,11.3,25,266
FORD,FUSION AWD,MID-SIZE,2.0,4.0,AS6,X,10.8,7.5,9.3,30,220
DODGE,DART,MID-SIZE,2.4,4.0,A6,X,10.1,6.8,8.6,33,202
MINI,COOPER 3 DOOR,SUBCOMPACT,1.5,3.0,M6,Z,8.4,6.0,7.3,39,172
CHEVROLET,CAMARO SS,COMPACT,6.2,8.0,AS8,Z,14.2,8.4,11.6,24,272
GMC,ACADIA,SUV - STANDARD,3.6,6.0,A6,X,15.8,10.6,13.4,21,315
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4.0,AS8,Z,11.1,8.4,9.9,29,231
HYUNDAI,SANTA FE AWD,SUV - SMALL,3.3,6.0,AS6,X,13.0,9.7,11.5,25,269
PORSCHE,911 CARRERA 4 GTS,MINICOMPACT,3.8,6.0,M7,Z,13.0,9.2,11.3,25,265
PORSCHE,PANAMERA 4S EXECUTIVE,FULL-SIZE,3.0,6.0,AM7,Z,13.7,8.9,11.5,25,271
LEXUS,IS 350,COMPACT,3.5,6.0,AS8,,12.3,8.5,10.6,27,246
LINCOLN,MKT AWD,SUV - STANDARD,3.5,6.0,AS6,X,15.7,11.2,13.7,21,322
KIA,OPTIMA HYBRID,MID-SIZE,2.4,4.0,AM6,X,6.6,5.9,6.3,45,147
MERCEDES-BENZ,METRIS PASSENGER,SPECIAL PURPOSE VEHICLE,2.0,4.0,AS7,Z,11.5,10.2,10.9,26,248
KIA,CADENZA,FULL-SIZE,3.3,6.0,AS6,,12.7,8.4,10.7,26,251
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8.0,M7,Z,15.7,10.6,13.4,21,313
VOLVO,S60 T5,COMPACT,2.0,4.0,AS8,X,9.6,6.7,8.3,34,193
PORSCHE,911 CARRERA 4 GTS,MINICOMPACT,3.8,6.0,AM7,Z,12.7,9.2,11.1,25,260
VOLKSWAGEN,JETTA,COMPACT,1.8,4.0,AS6,X,9.2,6.4,8.0,35,186
VOLKSWAGEN,GOLF GTI,COMPACT,2.0,4.0,M6,X,9.4,6.9,8.3,34,193
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12.0,AS8,Z,18.8,11.8,15.6,18,367
HONDA,CIVIC SEDAN,MID-SIZE,2.0,4.0,M6,X,8.8,5.9,7.5,38,176
SUBARU,FORESTER AWD,SUV - SMALL,2.5,4.0,M6,X,10.6,8.4,9.6,29,227
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,23.0,16.0,19.8,14,465
FORD,FLEX AWD GTDI,SUV - STANDARD,3.5,6.0,AS6,X,15.7,11.2,13.7,21,322
MASERATI,GHIBLI,MID-SIZE,3.0,6.0,AS8,Z,14.1,9.8,12.2,23,286
INFINITI,QX60 HYBRID AWD,SUV - STANDARD,2.5,4.0,AV7,X,8.9,8.4,8.7,32,204
DODGE,CHARGER (MDS),FULL-SIZE,6.4,8.0,A8,Z,15.7,9.5,12.9,22,302
CADILLAC,CTS,MID-SIZE,2.0,,AS8,Z,11.0,7.6,9.5,30,221
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4.0,AS6,X,12.0,10.0,11.1,25,261
ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12.0,A8,Z,16.8,10.9,14.2,20,332
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2.0,4.0,M5,X,9.9,7.2,8.7,32,203
LEXUS,GX 460,SUV - STANDARD,4.6,8.0,AS6,Z,15.7,11.7,13.9,20,322
JEEP,GRAND CHEROKEE 4X4 (MDS),SUV - STANDARD,5.7,8.0,A8,X,16.7,10.7,14.0,20,329
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6.0,A5,,14.8,11.7,13.4,21,314
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6.0,M7,Z,12.5,9.0,10.9,26,257
GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.2,10.8,13.2,21,310
CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.2,10.8,13.2,21,310
PORSCHE,CAYMAN GTS,TWO-SEATER,3.4,6.0,AM7,Z,10.9,7.7,9.5,30,222
KIA,FORTE,MID-SIZE,1.8,4.0,M6,X,9.3,6.3,7.9,36,186
AUDI,A3 QUATTRO,SUBCOMPACT,2.0,4.0,AM6,X,9.8,7.2,8.6,33,201
BUICK,VERANO,COMPACT,2.0,4.0,M6,Z,11.6,7.6,9.8,29,230
FORD,FIESTA SFE,SUBCOMPACT,1.0,3.0,M5,X,7.5,5.5,6.6,43,153
PORSCHE,911 CARRERA GTS CABRIOLET,MINICOMPACT,3.8,6.0,M7,,13.4,9.3,11.6,24,272
VOLKSWAGEN,GOLF R,COMPACT,2.0,4.0,M6,Z,10.9,7.7,9.4,30,220
INFINITI,QX60,SUV - SMALL,3.5,6.0,AV7,Z,11.8,8.5,10.3,27,242
CADILLAC,ATS AWD,COMPACT,2.0,4.0,AS8,Z,10.8,7.8,9.4,30,221
VOLKSWAGEN,GOLF,COMPACT,1.8,4.0,M5,X,9.3,6.4,8.0,35,187
DODGE,DART FFV,MID-SIZE,2.0,4.0,A6,X,9.9,7.0,8.6,33,201
LEXUS,RC 200t,SUBCOMPACT,2.0,4.0,AS8,Z,10.6,7.4,9.0,31,214
CHEVROLET,CAMARO,COMPACT,3.6,6.0,M6,X,13.2,8.7,11.2,25,261
GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,E,20.3,15.3,18.1,16,301
MITSUBISHI,LANCER 4WD,COMPACT,2.4,4.0,AV6,X,10.2,7.8,9.1,31,210
TOYOTA,PRIUS v,STATION WAGON - MID-SIZE,1.8,4.0,AV,X,5.4,5.8,5.6,50,131
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6.0,M6,Z,13.6,9.7,11.8,24,278
LEXUS,IS 200t,COMPACT,2.0,4.0,AS8,Z,10.6,7.2,9.0,31,212
CHEVROLET,SPARK,SUBCOMPACT,1.4,4.0,AV,X,7.6,5.7,6.7,42,157
NISSAN,ALTIMA 3.5,MID-SIZE,3.5,6.0,AV7,X,10.3,7.4,9.0,31,212
JEEP,PATRIOT,SUV - SMALL,2.4,4.0,M5,X,10.2,8.2,9.3,30,218
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8.0,AS6,Z,18.2,11.4,15.1,19,357
GMC,YUKON XL 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.4,10.8,13.3,21,312
BMW,M6,COMPACT,4.4,8.0,M6,Z,16.1,10.9,13.7,21,321
NISSAN,ALTIMA,MID-SIZE,2.5,4.0,AV,X,8.7,6.0,7.5,38,176
VOLKSWAGEN,JETTA,COMPACT,1.4,4.0,M5,X,8.3,5.9,7.2,39,168
VOLVO,S60 INSCRIPTION T5 AWD,COMPACT,2.5,5.0,AS6,X,11.6,8.2,10.1,28,233
GMC,YUKON XL FFV,SUV - STANDARD,5.3,8.0,A6,E,20.5,14.0,17.6,16,288
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4.0,M5,,10.6,8.6,9.7,29,228
FORD,FUSION,MID-SIZE,1.5,4.0,AS6,X,9.9,6.5,8.4,34,197
BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6.0,AM7,Z,13.7,10.0,12.1,23,282
NISSAN,ROGUE AWD,SUV - SMALL,2.5,4.0,AV,X,9.5,7.4,8.6,33,201
MITSUBISHI,LANCER,COMPACT,2.4,4.0,M5,,10.5,7.7,9.2,31,217
CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8.0,A6,E,20.9,14.5,18.0,16,300
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8.0,AS6,X,18.8,14.0,16.6,17,382
CHEVROLET,SUBURBAN FFV,SUV - STANDARD,5.3,8.0,A6,X,15.1,10.4,13.0,22,304
BMW,435i xDRIVE COUPE,COMPACT,3.0,6.0,M6,Z,12.3,8.4,10.5,27,247
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8.0,M7,Z,13.7,8.2,11.2,25,263
INFINITI,QX70 AWD,SUV - SMALL,3.7,6.0,AS7,Z,14.5,10.7,12.8,22,301
VOLKSWAGEN,JETTA,COMPACT,2.0,4.0,AM6,X,9.8,7.0,8.6,33,201
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6.0,A5,X,15.7,11.3,13.7,21,322
HYUNDAI,GENESIS AWD,FULL-SIZE,5.0,8.0,AS8,Z,17.3,10.5,14.2,20,332
LEXUS,RX 450h AWD,SUV - STANDARD,3.5,6.0,AV6,Z,7.7,8.2,8.0,35,186
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,Z,10.5,6.9,8.9,32,209
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.8,4.0,M5,X,9.0,6.8,8.0,35,187
VOLVO,XC70 T5,SUV - SMALL,2.0,4.0,AS8,X,10.3,7.6,9.1,31,213
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4.0,AS8,Z,10.7,7.1,9.1,31,212
GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,14.2,10.7,12.6,22,296
INFINITI,Q70 HYBRID,MID-SIZE,3.5,6.0,AS7,Z,8.0,6.9,7.5,38,177
GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,14.6,10.4,12.7,22,298
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6.0,AM7,Z,11.5,8.4,10.1,28,236
LEXUS,IS 300 AWD,COMPACT,3.5,6.0,AS6,Z,12.6,9.2,11.1,25,258
PORSCHE,BOXSTER,TWO-SEATER,2.7,6.0,AM7,Z,10.7,7.4,9.2,31,217
JAGUAR,XJL 3.0 AWD PORTFOLIO,FULL-SIZE,3.0,6.0,AS8,Z,14.1,9.3,11.9,24,279
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,13.5,10.0,11.9,24,280
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.5,,AS6,X,8.7,6.5,7.7,37,182
KIA,RIO,COMPACT,1.6,4.0,AS6,X,8.7,6.3,7.7,37,178
JEEP,CHEROKEE 4X4 FFV,SUV - SMALL,2.4,4.0,A9,E,15.9,11.0,13.7,21,226
DODGE,CHARGER FFV,FULL-SIZE,3.6,6.0,A8,X,12.4,7.7,10.3,27,240
PORSCHE,BOXSTER S,TWO-SEATER,3.4,6.0,M6,Z,11.9,8.6,10.4,27,245
BUICK,ENCORE,SUV - SMALL,1.4,4.0,AS6,,9.5,7.2,8.5,33,199
SUBARU,LEGACY AWD,MID-SIZE,3.6,6.0,AV6,X,11.9,8.2,10.2,28,239
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8.0,AS6,X,16.9,12.9,15.1,19,351
AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4.0,AS8,Z,11.2,8.4,9.9,29,232
CHEVROLET,CAMARO,COMPACT,2.0,4.0,M6,Z,11.4,7.9,9.8,29,229
ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8.0,M6,Z,18.1,12.3,15.5,18,362
NISSAN,MURANO AWD,STATION WAGON - MID-SIZE,3.5,6.0,AV7,,11.2,8.3,9.9,29,232
JEEP,RENEGADE FFV,SUV - SMALL,2.4,4.0,A9,E,14.2,9.9,12.2,23,201
TOYOTA,VENZA 4WD,SUV - SMALL,2.7,4.0,AS6,,11.6,9.2,10.5,27,241
VOLKSWAGEN,GOLF SPORTWAGON,STATION WAGON - SMALL,1.8,4.0,AS6,X,9.4,6.8,8.2,34,193
HONDA,ACCORD SEDAN,MID-SIZE,2.4,,AV,X,8.6,6.4,7.6,37,177
MERCEDES-BENZ,E 400 4MATIC,MID-SIZE,3.0,6.0,AS7,Z,12.0,8.5,10.4,27,244
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A8,X,15.8,10.9,13.6,21,319
HONDA,HR-V,SUV - SMALL,1.8,4.0,M6,X,9.3,7.0,8.3,34,193
HYUNDAI,SONATA,FULL-SIZE,2.4,4.0,AS6,X,9.4,6.5,8.1,35,191
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.5,4.0,A6,X,12.7,9.6,11.3,25,265
KIA,FORTE 5,FULL-SIZE,1.6,4.0,AS6,X,11.1,8.0,9.7,29,228
FORD,T-150 WAGON,VAN - PASSENGER,3.5,6.0,AS6,,16.1,12.7,14.6,19,342
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6.0,M6,,15.0,11.4,13.4,21,312
LINCOLN,NAVIGATOR L 4X4,SUV - STANDARD,3.5,6.0,AS6,X,16.1,12.4,14.4,20,339
CHEVROLET,CORVETTE,TWO-SEATER,6.2,,AS8,Z,14.6,8.1,11.7,24,275
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8.0,A8,X,14.8,9.3,12.3,23,289
HONDA,HR-V,SUV - SMALL,1.8,4.0,AV,,8.3,6.7,7.6,37,177
MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4.0,M6,Z,10.0,7.0,8.7,32,203
DODGE,CHARGER AWD FFV,FULL-SIZE,3.6,6.0,A8,X,12.8,8.6,10.9,26,257
TOYOTA,RAV4 HYBRID AWD,SUV - SMALL,2.5,4.0,AV6,X,6.9,7.6,7.2,39,169
BMW,X4 xDRIVE35i,SUV - SMALL,3.0,6.0,AS8,Z,12.7,8.8,10.9,26,257
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.5,4.0,M6,,9.2,6.6,8.1,35,190
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4.0,M6,X,11.0,8.2,9.7,29,228
JAGUAR,F-TYPE S CONVERTIBLE AWD,TWO-SEATER,3.0,6.0,AS8,Z,13.0,9.1,11.3,25,264
INFINITI,Q70 AWD,MID-SIZE,3.7,6.0,AS7,Z,13.2,9.7,11.6,24,274
FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,21.8,15.3,18.8,15,310
KIA,SPORTAGE AWD,SUV - SMALL,2.4,4.0,AS6,X,12.0,9.3,10.8,26,251
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8.0,A6,E,20.5,14.4,17.8,16,295
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6.0,M7,Z,12.3,8.7,10.7,26,251
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,6.2,8.0,A8,Z,16.3,11.6,14.2,20,332
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6.0,AM7,Z,12.2,8.9,10.7,26,251
FIAT,500X AWD,SUV - SMALL,2.4,4.0,A9,X,11.0,7.9,9.6,29,224
HONDA,CR-Z,TWO-SEATER,1.5,4.0,AV7,X,7.0,6.4,6.8,42,157
MAZDA,MAZDA3 5-DOOR,MID-SIZE,2.0,4.0,AS6,X,8.0,5.9,7.0,40,165
BMW,M6,COMPACT,4.4,8.0,AM7,Z,17.3,11.5,14.7,19,344
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6.0,AS8,Z,13.0,9.7,11.5,25,269
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,13.9,9.5,11.9,24,279
MITSUBISHI,LANCER,COMPACT,2.0,4.0,M5,X,9.6,7.0,8.4,34,198
LINCOLN,MKS AWD,FULL-SIZE,3.5,6.0,AS6,X,14.7,9.8,12.5,23,293
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6.0,M7,,12.5,8.9,10.9,26,255
VOLVO,V60 T5 AWD,STATION WAGON - SMALL,2.5,5.0,AS6,X,11.6,8.2,10.1,28,233
CHEVROLET,IMPALA DUAL FUEL,MID-SIZE,3.6,6.0,AS6,X,13.9,9.3,11.9,24,272
VOLKSWAGEN,GOLF,COMPACT,1.8,4.0,AS6,X,9.3,6.5,8.1,35,189
